studytime,absences,Medu,Fedu,avg_grade
2,0,3,4,3.0
3,0,4,4,3.6666666666666665
1,0,3,3,1.3333333333333333
4,0,4,3,5.333333333333333
2,0,3,2,4.333333333333333
1,0,4,4,4.333333333333333
1,0,3,2,1.6666666666666667
2,0,2,2,4.333333333333333
2,0,1,3,5.0
3,0,1,1,3.6666666666666665
1,0,4,3,2.0
3,0,2,1,2.3333333333333335
4,0,2,2,6.333333333333333
3,0,2,2,6.333333333333333
2,0,3,3,2.3333333333333335
2,0,2,2,5.333333333333333
4,0,2,2,6.333333333333333
2,0,1,1,3.6666666666666665
2,6,4,4,5.666666666666667
2,4,1,1,5.333333333333333
2,6,4,4,5.666666666666667
1,0,2,3,7.0
2,8,4,3,7.333333333333333
2,10,3,2,6.333333333333333
2,26,3,2,6.333333333333333
2,18,1,1,7.333333333333333
2,2,4,4,7.0
3,6,4,3,7.0
2,16,3,1,8.0
3,2,2,4,9.0
3,0,4,3,8.0
4,8,2,2,7.666666666666667
2,0,2,2,7.666666666666667
2,2,2,3,9.0
2,2,4,3,8.0
2,15,4,4,8.3333333333333339
1,38,4,4,8.3333333333333339
2,0,3,1,8.0
2,2,1,2,9.3333333333333339
2,4,1,2,9.0
2,8,2,1,9.0
2,2,0,1,8.0
2,4,3,3,10.0
2,0,1,1,8.3333333333333339
3,4,3,3,9.3333333333333339
2,75,3,2,9.3333333333333339
3,9,4,3,9.3333333333333339
2,12,2,2,9.6666666666666661
2,0,3,3,9.3333333333333339
2,4,3,2,7.666666666666667
2,4,3,3,9.3333333333333339
2,8,2,1,9.0
4,0,4,2,10.0
4,8,4,0,10.666666666666666
1,2,2,1,8.6666666666666661
2,12,2,2,10.333333333333334
2,0,4,2,10.333333333333334
4,2,1,1,9.0
2,2,2,1,9.0
3,0,3,3,9.0
3,4,2,2,9.6666666666666661
2,2,2,4,10.0
2,4,1,1,9.0
2,2,2,3,10.666666666666666
2,0,2,2,11.666666666666666
2,4,3,4,11.0
3,2,3,4,11.666666666666666
1,0,2,2,9.0
4,10,3,3,10.666666666666666
2,0,3,4,9.3333333333333339
3,2,4,4,10.333333333333334
2,2,1,2,10.666666666666666
2,4,4,3,10.333333333333334
4,6,2,2,10.333333333333334
2,4,2,2,11.0
2,2,2,1,11.666666666666666
2,12,4,3,11.0
2,2,1,1,11.0
2,14,4,4,11.0
3,40,2,3,11.666666666666666
3,8,2,2,11.666666666666666
3,4,2,1,11.333333333333334
2,0,3,3,10.0
1,0,4,4,11.333333333333334
1,16,3,2,11.666666666666666
1,20,2,1,12.333333333333334
3,1,3,2,12.333333333333334
4,1,1,1,12.0
3,6,1,1,12.333333333333334
2,8,2,4,12.666666666666666
1,8,2,2,13.333333333333334
2,2,4,2,12.333333333333334
2,6,2,2,12.0
1,0,3,3,13.333333333333334
2,10,2,3,12.0
2,10,4,3,12.0
1,4,2,3,12.333333333333334
4,6,4,2,13.0
2,12,2,1,12.333333333333334
2,20,3,3,14.0
2,20,2,1,13.0
3,14,1,1,13.666666666666666
4,6,2,2,12.666666666666666
1,4,4,4,12.333333333333334
2,2,4,4,12.666666666666666
2,0,4,4,14.0
1,0,2,3,13.666666666666666
2,0,2,2,13.0
3,0,4,4,13.333333333333334
3,8,3,2,13.666666666666666
4,0,4,3,13.666666666666666
3,0,4,2,13.666666666666666
3,7,2,4,13.333333333333334
3,2,4,2,14.666666666666666
2,0,3,4,14.666666666666666
2,0,4,3,14.0
1,0,4,4,14.0
1,0,3,2,13.666666666666666
3,7,4,4,15.333333333333334
2,0,4,3,14.666666666666666
2,4,4,4,14.666666666666666
4,0,3,1,14.333333333333334
1,2,4,3,13.666666666666666
1,0,4,4,15.666666666666666
2,0,2,4,14.666666666666666
2,9,4,4,14.333333333333334
2,0,4,4,15.333333333333334
3,4,4,2,14.666666666666666
3,0,2,2,15.333333333333334
2,0,4,3,16.333333333333332
2,2,4,2,15.666666666666666
3,4,4,4,15.0
2,0,4,2,15.0
2,2,1,0,14.666666666666666
3,0,1,1,16.666666666666668
2,0,4,4,16.666666666666668
3,0,4,4,16.666666666666668
2,2,2,3,16.333333333333332
4,7,3,3,16.0
3,2,4,3,16.333333333333332
2,2,4,4,18.333333333333332
2,0,3,4,17.333333333333332
3,2,3,3,17.333333333333332
1,6,2,1,18.0
4,6,3,1,18.0
1,0,3,2,17.666666666666668
2,0,3,2,17.666666666666668
1,6,4,4,18.666666666666668
1,10,4,2,18.666666666666668
3,0,4,4,18.666666666666668
4,4,4,3,19.333333333333332
1,0,2,2,3.6666666666666665
3,0,3,4,4.0
1,0,1,1,2.6666666666666665
1,0,2,1,1.6666666666666667
1,0,2,1,4.333333333333333
2,0,2,1,2.0
2,0,1,2,6.0
2,0,2,1,5.333333333333333
2,0,4,4,6.666666666666667
2,0,2,2,5.666666666666667
1,0,1,1,4.333333333333333
3,0,2,3,4.0
2,12,3,4,5.0
4,4,3,1,6.666666666666667
2,4,2,2,7.0
1,18,2,2,6.333333333333333
2,2,2,1,6.0
1,7,4,4,5.666666666666667
2,5,3,1,7.0
4,10,3,3,8.0
1,2,1,1,8.0
2,10,4,3,8.6666666666666661
2,0,4,4,9.0
2,14,2,2,9.6666666666666661
1,8,2,2,9.0
2,4,3,3,8.6666666666666661
2,0,4,4,9.3333333333333339
1,12,4,4,9.3333333333333339
1,8,4,3,10.333333333333334
1,0,4,4,10.666666666666666
3,4,2,3,10.333333333333334
1,4,1,1,10.0
1,0,2,3,10.333333333333334
3,2,1,1,8.6666666666666661
2,2,4,3,10.333333333333334
1,2,2,2,11.666666666666666
2,25,2,2,9.3333333333333339
3,4,2,3,10.666666666666666
2,0,1,1,10.0
1,2,1,2,11.333333333333334
2,8,4,4,11.0
2,4,2,2,10.0
2,2,1,1,11.0
2,3,1,2,11.666666666666666
2,22,3,2,11.333333333333334
3,3,2,2,11.0
3,3,4,4,10.666666666666666
2,2,3,2,11.666666666666666
2,10,4,4,12.333333333333334
1,0,3,4,12.666666666666666
2,2,3,3,12.333333333333334
2,14,3,2,12.333333333333334
3,10,2,1,11.333333333333334
1,0,4,4,12.333333333333334
2,0,3,3,13.0
2,0,1,2,11.666666666666666
1,6,3,4,13.333333333333334
2,2,2,4,13.0
2,23,4,3,13.0
3,12,3,1,13.333333333333334
2,4,4,4,12.666666666666666
3,0,4,4,13.0
1,4,4,4,14.0
3,6,4,4,13.666666666666666
2,2,4,2,14.666666666666666
1,2,3,1,12.666666666666666
1,6,4,4,13.0
2,14,4,3,13.333333333333334
2,8,2,1,14.333333333333334
2,2,1,2,14.333333333333334
3,4,4,4,14.0
2,10,4,3,15.0
2,2,4,3,15.333333333333334
2,2,1,2,15.333333333333334
4,6,2,2,15.0
1,2,2,2,15.666666666666666
2,0,2,1,15.0
3,0,4,3,15.0
2,0,3,3,15.0
2,2,4,4,15.333333333333334
1,4,4,4,16.0
1,5,4,4,15.666666666666666
3,9,4,3,15.666666666666666
4,0,3,2,17.333333333333332
3,5,2,2,18.333333333333332
2,0,4,4,6.333333333333333
2,0,3,2,5.0
1,0,1,1,3.6666666666666665
2,8,3,3,4.333333333333333
1,14,1,2,5.333333333333333
1,14,4,2,5.333333333333333
2,4,3,1,6.333333333333333
1,5,2,1,6.666666666666667
1,3,1,1,8.3333333333333339
1,14,2,2,7.666666666666667
2,2,2,2,8.3333333333333339
2,6,4,4,8.0
3,0,3,3,7.333333333333333
2,10,4,3,8.3333333333333339
2,56,3,3,8.6666666666666661
1,0,2,1,8.3333333333333339
2,8,1,1,7.666666666666667
1,7,1,3,7.666666666666667
1,4,1,1,8.0
2,6,3,3,8.0
2,14,4,4,9.6666666666666661
2,15,3,3,9.0
3,7,4,4,9.3333333333333339
3,0,4,3,9.6666666666666661
