Address,Price,Bedrooms,Bathrooms,SquareFeet,Latitude,Longitude
1 Example Street,271958,5,2,760,49.26720261352952,-123.15820539682844
2 Example Street,821155,2,2,2203,49.23281526674747,-123.10324194484797
3 Example Street,281932,5,3,3448,49.215504161672776,-123.14520281167519
4 Example Street,515838,2,2,997,49.29818408883105,-123.15765290576918
5 Example Street,409178,1,3,1900,49.28389335020693,-123.143147971625
6 Example Street,794167,4,1,1415,49.28604046183116,-123.14240754247419
7 Example Street,260268,4,1,2127,49.225025136051585,-123.12683522447003
8 Example Street,882180,4,1,2519,49.20388347344294,-123.18723102705775
9 Example Street,204886,5,1,2015,49.23032655146732,-123.17499835507839
10 Example Street,287337,1,3,1758,49.25370824271967,-123.1419455987656
11 Example Street,671430,5,1,1818,49.232665124179604,-123.11328833927902
12 Example Street,237498,5,2,1000,49.28278690037876,-123.14381333078562
13 Example Street,325203,1,2,1239,49.227154291581975,-123.17614031402097
14 Example Street,341335,1,2,3335,49.29652518303907,-123.13201552200998
15 Example Street,428167,1,3,1059,49.245726516161376,-123.12600912395526
16 Example Street,191090,1,1,1554,49.2842023075012,-123.1761763847596
17 Example Street,479365,4,1,1069,49.21943800339949,-123.16222711138236
18 Example Street,214820,3,1,1645,49.24113539050567,-123.14656725264695
19 Example Street,937201,3,3,3397,49.26995122107672,-123.15034388093169
20 Example Street,471879,1,2,2293,49.21383530924178,-123.16103819137808
21 Example Street,868315,3,2,2685,49.2132745422243,-123.17023648254907
22 Example Street,477069,3,1,2877,49.29695368671141,-123.19000151128381
23 Example Street,926997,1,2,1162,49.27145951041799,-123.19465147032527
24 Example Street,349041,3,2,3085,49.20410675167679,-123.10414585031168
25 Example Street,941743,5,3,2399,49.23988209014448,-123.11528568559044
26 Example Street,253355,2,3,2674,49.243352073758075,-123.16450948095373
27 Example Street,385796,2,3,825,49.27440426429991,-123.10431991148735
28 Example Street,364176,1,3,1397,49.22508605273467,-123.13232300955757
29 Example Street,334779,4,1,2931,49.218433367433136,-123.15174790503573
30 Example Street,497449,1,3,1559,49.20808729666172,-123.15069743422282
31 Example Street,571909,4,2,2104,49.24283144749401,-123.19167155888047
32 Example Street,408795,2,1,1052,49.26884999007653,-123.19082958527416
33 Example Street,636232,1,2,1415,49.205819359550844,-123.13975590740989
34 Example Street,650186,5,2,1258,49.291521372762645,-123.14462969476541
35 Example Street,306730,3,2,1146,49.24423522297311,-123.17872721049758
36 Example Street,534681,4,3,1815,49.22397873591574,-123.10538054571182
37 Example Street,299503,3,3,616,49.20938732900813,-123.12187039495288
38 Example Street,804811,3,1,1843,49.21828659971073,-123.18865353979825
39 Example Street,677035,1,1,2805,49.29346139973397,-123.10690708943126
40 Example Street,798143,3,3,3124,49.26382705938433,-123.10257517914656
41 Example Street,602366,5,2,1669,49.25166962574266,-123.10040687579696
42 Example Street,215725,3,1,3165,49.265711132850015,-123.19441288453227
43 Example Street,279981,1,3,2746,49.24356728986779,-123.1262964443209
44 Example Street,234654,5,3,2368,49.27300393165618,-123.1454084229835
45 Example Street,741723,2,3,1660,49.204771612769164,-123.12941685161212
